Number,System_type,Point group,Short_name,Full_name,Schoenflies,Fedorov,Shubnikov,Fibrifold
193,hexagonal,6/m 2/m 2/m,P63/mcm,P 63/m 2/c 2/m,$D_{6h}^3$,87a,$(c:(a/a))\cdot m:6_3\cdot\tilde c$,-
194,hexagonal,6/m 2/m 2/m,P63/mmc,P 63/m 2/m 2/c,$D_{6h}^4$,88a,$(c:(a/a))\cdot m:6_3\cdot m$,-
195,cubic,23,P23,P 2 3,$T^1$,59s,$\left ( a:a:a\right ) :2/3$,$2^o$
196,cubic,23,F23,F 2 3,$T^2$,61s,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:a:a:a\right ) :2/3$,$1^o$
197,cubic,23,I23,I 2 3,$T^3$,60s,$\left ( \frac{a+b+c}{2}/a:a:a\right ) :2/3$,$4^{oo}$
198,cubic,23,P213,P 21 3,$T^4$,89a,$\left ( a:a:a\right ) :2_1/3$,$1^o/4$
199,cubic,23,I213,I 21 3,$T^5$,90a,$\left ( \frac{a+b+c}{2}/a:a:a\right ) :2_1/3$,$2^o/4$
200,cubic,2/m 3,Pm3,P 2/m 3,$T_h^1$,62s,$\left ( a:a:a\right ) \cdot m/ \tilde 6$,$4^-$
201,cubic,2/m 3,Pn3,P 2/n 3,$T_h^2$,49h,$\left ( a:a:a\right ) \cdot \widetilde{ab} / \tilde 6$,$4^{+o}$
202,cubic,2/m 3,Fm3,F 2/m 3,$T_h^3$,64s,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:a:a:a\right ) \cdot m/ \tilde 6$,$2^-$
203,cubic,2/m 3,Fd3,F 2/d 3,$T_h^4$,50h,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:a:a:a\right ) \cdot \frac{1}{2}\widetilde{ab} / \tilde 6$,$2^{+o}$
204,cubic,2/m 3,Im3,I 2/m 3,$T_h^5$,63s,$\left ( \frac{a+b+c}{2}/a:a:a\right ) \cdot m/\tilde 6$,$8^-$
205,cubic,2/m 3,Pa3,P 21/a 3,$T_h^6$,91a,$\left ( a:a:a\right ) \cdot \tilde a /\tilde 6$,$2^{+}/4$
206,cubic,2/m 3,Ia3,I 21/a 3,$T_h^7$,92a,$\left ( \frac{a+b+c}{2}/a:a:a\right ) \cdot \tilde a /\tilde 6$,$4^{-}/4$
207,cubic,432,P432,P 4 3 2,$O^1$,68s,$\left ( a:a:a\right ) :4/3$,$4^{o}$
208,cubic,432,P4232,P 42 3 2,$O^2$,98a,$\left ( a:a:a\right ) :4_2//3$,$4^{+}$
209,cubic,432,F432,F 4 3 2,$O^3$,70s,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:a:a:a\right ) :4/3$,$2^{o}$
210,cubic,432,F4132,F 41 3 2,$O^4$,97a,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:a:a:a\right ) :4_1//3$,$2^{+}$
211,cubic,432,I432,I 4 3 2,$O^5$,69s,$\left ( \frac{a+b+c}{2}/a:a:a\right ) :4/3$,$8^{+o}$
212,cubic,432,P4332,P 43 3 2,$O^6$,94a,$\left ( a:a:a\right ) :4_3//3$,$2^{+}/4$
213,cubic,432,P4132,P 41 3 2,$O^7$,95a,$\left ( a:a:a\right ) :4_1//3$,$2^{+}/4$
214,cubic,432,I4132,I 41 3 2,$O^8$,96a,$\left ( \frac{a+b+c}{2}/:a:a:a\right ) :4_1//3$,$4^{+}/4$
215,cubic,43m,P43m,P 4 3 m,$T_d^1$,65s,$\left ( a:a:a\right ) :\tilde 4 /3$,$2^{o}:2$
216,cubic,43m,F43m,F 4 3 m,$T_d^2$,67s,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:a:a:a\right ) :\tilde 4 /3$,$1^{o}:2$
217,cubic,43m,I43m,I 4 3 m,$T_d^3$,66s,$\left ( \frac{a+b+c}{2}/a:a:a\right ) :\tilde 4 /3$,$4^{o}:2$
218,cubic,43m,P43n,P 4 3 n,$T_d^4$,51h,$\left ( a:a:a\right ) :\tilde 4 //3$,$4^{o}$
219,cubic,43m,F43c,F 4 3 c,$T_d^5$,52h,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:a:a:a\right ) :\tilde 4 //3$,$2^{oo}$
220,cubic,43m,I43d,I 4 3 d,$T_d^6$,93a,$\left ( \frac{a+b+c}{2}/a:a:a\right ) :\tilde 4 //3$,$4^{o}/4$
221,cubic,4/m 3 2/m,Pm3m,P 4/m 3 2/m,$O_h^1$,71s,$\left ( a:a:a\right ) :4/\tilde 6 \cdot m$,$4^{-}:2$
222,cubic,4/m 3 2/m,Pn3n,P 4/n 3 2/n,$O_h^2$,53h,$\left ( a:a:a\right ) :4/\tilde 6 \cdot \widetilde{abc}$,$8^{oo}$
223,cubic,4/m 3 2/m,Pm3n,P 42/m 3 2/n,$O_h^3$,102a,$\left ( a:a:a\right ) :4_2//\tilde 6 \cdot \widetilde{abc}$,$8^{o}$
224,cubic,4/m 3 2/m,Pn3m,P 42/n 3 2/m,$O_h^4$,103a,$\left ( a:a:a\right ) :4_2//\tilde 6 \cdot m$,$4^{+}:2$
225,cubic,4/m 3 2/m,Fm3m,F 4/m 3 2/m,$O_h^5$,73s,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:a:a:a\right ) :4/\tilde 6 \cdot m$,$2^{-}:2$
226,cubic,4/m 3 2/m,Fm3c,F 4/m 3 2/c,$O_h^6$,54h,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:a:a:a\right ) :4/\tilde 6 \cdot \tilde c$,$4^{--}$
227,cubic,4/m 3 2/m,Fd3m,F 41/d 3 2/m,$O_h^7$,100a,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:a:a:a\right ) :4_1//\tilde 6 \cdot m$,$2^{+}:2$
228,cubic,4/m 3 2/m,Fd3c,F 41/d 3 2/c,$O_h^8$,101a,$\left ( \frac{a+c}{2}/\frac{b+c}{2}/\frac{a+b}{2}:a:a:a\right ) :4_1//\tilde 6 \cdot \tilde c$,$4^{++}$
229,cubic,4/m 3 2/m,Im3m,I 4/m 3 2/m,$O_h^9$,72s,$\left ( \frac{a+b+c}{2}/a:a:a\right ) :4/\tilde 6 \cdot m$,$8^{o}:2$
230,cubic,4/m 3 2/m,Ia3d,I 41/a 3 2/d,$O_h^{10}$,99a,$\left ( \frac{a+b+c}{2}/a:a:a\right ) :4_1//\tilde 6 \cdot \frac{1}{2}\widetilde{abc}$,$8^{o}/4$
